character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	87
(	U+0028	LEFT PARENTHESIS	Ps	5
)	U+0029	RIGHT PARENTHESIS	Pe	5
,	U+002C	COMMA	Po	5
-	U+002D	HYPHEN-MINUS	Pd	6
.	U+002E	FULL STOP	Po	11
/	U+002F	SOLIDUS	Po	1
1	U+0031	DIGIT ONE	Nd	11
2	U+0032	DIGIT TWO	Nd	2
3	U+0033	DIGIT THREE	Nd	1
5	U+0035	DIGIT FIVE	Nd	1
8	U+0038	DIGIT EIGHT	Nd	2
9	U+0039	DIGIT NINE	Nd	6
A	U+0041	LATIN CAPITAL LETTER A	Lu	5
B	U+0042	LATIN CAPITAL LETTER B	Lu	3
C	U+0043	LATIN CAPITAL LETTER C	Lu	5
D	U+0044	LATIN CAPITAL LETTER D	Lu	2
E	U+0045	LATIN CAPITAL LETTER E	Lu	1
H	U+0048	LATIN CAPITAL LETTER H	Lu	2
I	U+0049	LATIN CAPITAL LETTER I	Lu	3
J	U+004A	LATIN CAPITAL LETTER J	Lu	2
K	U+004B	LATIN CAPITAL LETTER K	Lu	13
L	U+004C	LATIN CAPITAL LETTER L	Lu	2
M	U+004D	LATIN CAPITAL LETTER M	Lu	2
N	U+004E	LATIN CAPITAL LETTER N	Lu	3
O	U+004F	LATIN CAPITAL LETTER O	Lu	4
P	U+0050	LATIN CAPITAL LETTER P	Lu	4
R	U+0052	LATIN CAPITAL LETTER R	Lu	2
S	U+0053	LATIN CAPITAL LETTER S	Lu	4
T	U+0054	LATIN CAPITAL LETTER T	Lu	6
U	U+0055	LATIN CAPITAL LETTER U	Lu	2
V	U+0056	LATIN CAPITAL LETTER V	Lu	1
W	U+0057	LATIN CAPITAL LETTER W	Lu	2
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	1
a	U+0061	LATIN SMALL LETTER A	Ll	53
b	U+0062	LATIN SMALL LETTER B	Ll	5
c	U+0063	LATIN SMALL LETTER C	Ll	12
d	U+0064	LATIN SMALL LETTER D	Ll	17
e	U+0065	LATIN SMALL LETTER E	Ll	36
f	U+0066	LATIN SMALL LETTER F	Ll	7
g	U+0067	LATIN SMALL LETTER G	Ll	3
h	U+0068	LATIN SMALL LETTER H	Ll	12
i	U+0069	LATIN SMALL LETTER I	Ll	40
k	U+006B	LATIN SMALL LETTER K	Ll	7
l	U+006C	LATIN SMALL LETTER L	Ll	24
m	U+006D	LATIN SMALL LETTER M	Ll	12
n	U+006E	LATIN SMALL LETTER N	Ll	39
o	U+006F	LATIN SMALL LETTER O	Ll	29
p	U+0070	LATIN SMALL LETTER P	Ll	11
r	U+0072	LATIN SMALL LETTER R	Ll	29
s	U+0073	LATIN SMALL LETTER S	Ll	30
t	U+0074	LATIN SMALL LETTER T	Ll	39
u	U+0075	LATIN SMALL LETTER U	Ll	16
v	U+0076	LATIN SMALL LETTER V	Ll	7
w	U+0077	LATIN SMALL LETTER W	Ll	2
y	U+0079	LATIN SMALL LETTER Y	Ll	11
z	U+007A	LATIN SMALL LETTER Z	Ll	1
|	U+007C	VERTICAL LINE	Sm	1
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	2
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	1
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	4
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	10
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	3
ü	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	Ll	1
ş	U+015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	2
–	U+2013	EN DASH	Pd	1
