character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	81
(	U+0028	LEFT PARENTHESIS	Ps	5
)	U+0029	RIGHT PARENTHESIS	Pe	5
,	U+002C	COMMA	Po	1
-	U+002D	HYPHEN-MINUS	Pd	1
.	U+002E	FULL STOP	Po	10
/	U+002F	SOLIDUS	Po	2
1	U+0031	DIGIT ONE	Nd	8
2	U+0032	DIGIT TWO	Nd	2
3	U+0033	DIGIT THREE	Nd	4
9	U+0039	DIGIT NINE	Nd	3
A	U+0041	LATIN CAPITAL LETTER A	Lu	7
B	U+0042	LATIN CAPITAL LETTER B	Lu	2
C	U+0043	LATIN CAPITAL LETTER C	Lu	2
D	U+0044	LATIN CAPITAL LETTER D	Lu	5
E	U+0045	LATIN CAPITAL LETTER E	Lu	5
H	U+0048	LATIN CAPITAL LETTER H	Lu	3
I	U+0049	LATIN CAPITAL LETTER I	Lu	2
J	U+004A	LATIN CAPITAL LETTER J	Lu	1
K	U+004B	LATIN CAPITAL LETTER K	Lu	13
L	U+004C	LATIN CAPITAL LETTER L	Lu	1
M	U+004D	LATIN CAPITAL LETTER M	Lu	1
N	U+004E	LATIN CAPITAL LETTER N	Lu	3
O	U+004F	LATIN CAPITAL LETTER O	Lu	3
P	U+0050	LATIN CAPITAL LETTER P	Lu	2
R	U+0052	LATIN CAPITAL LETTER R	Lu	6
S	U+0053	LATIN CAPITAL LETTER S	Lu	7
T	U+0054	LATIN CAPITAL LETTER T	Lu	5
U	U+0055	LATIN CAPITAL LETTER U	Lu	3
V	U+0056	LATIN CAPITAL LETTER V	Lu	3
X	U+0058	LATIN CAPITAL LETTER X	Lu	1
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	1
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	1
a	U+0061	LATIN SMALL LETTER A	Ll	47
b	U+0062	LATIN SMALL LETTER B	Ll	7
c	U+0063	LATIN SMALL LETTER C	Ll	9
d	U+0064	LATIN SMALL LETTER D	Ll	17
e	U+0065	LATIN SMALL LETTER E	Ll	30
f	U+0066	LATIN SMALL LETTER F	Ll	4
g	U+0067	LATIN SMALL LETTER G	Ll	6
h	U+0068	LATIN SMALL LETTER H	Ll	8
i	U+0069	LATIN SMALL LETTER I	Ll	30
j	U+006A	LATIN SMALL LETTER J	Ll	3
k	U+006B	LATIN SMALL LETTER K	Ll	4
l	U+006C	LATIN SMALL LETTER L	Ll	16
m	U+006D	LATIN SMALL LETTER M	Ll	9
n	U+006E	LATIN SMALL LETTER N	Ll	38
o	U+006F	LATIN SMALL LETTER O	Ll	26
p	U+0070	LATIN SMALL LETTER P	Ll	9
r	U+0072	LATIN SMALL LETTER R	Ll	28
s	U+0073	LATIN SMALL LETTER S	Ll	20
t	U+0074	LATIN SMALL LETTER T	Ll	31
u	U+0075	LATIN SMALL LETTER U	Ll	18
v	U+0076	LATIN SMALL LETTER V	Ll	6
w	U+0077	LATIN SMALL LETTER W	Ll	2
x	U+0078	LATIN SMALL LETTER X	Ll	1
y	U+0079	LATIN SMALL LETTER Y	Ll	11
z	U+007A	LATIN SMALL LETTER Z	Ll	1
|	U+007C	VERTICAL LINE	Sm	1
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	2
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	2
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	2
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	5
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	8
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	2
