character	code_point	unicode_name	unicode_category	count
\n	U+000A	<UNNAMED>	Cc	1
<SPACE>	U+0020	SPACE	Zs	92
&	U+0026	AMPERSAND	Po	1
(	U+0028	LEFT PARENTHESIS	Ps	4
)	U+0029	RIGHT PARENTHESIS	Pe	4
,	U+002C	COMMA	Po	9
-	U+002D	HYPHEN-MINUS	Pd	2
.	U+002E	FULL STOP	Po	9
/	U+002F	SOLIDUS	Po	3
0	U+0030	DIGIT ZERO	Nd	1
1	U+0031	DIGIT ONE	Nd	4
2	U+0032	DIGIT TWO	Nd	2
3	U+0033	DIGIT THREE	Nd	3
6	U+0036	DIGIT SIX	Nd	3
7	U+0037	DIGIT SEVEN	Nd	1
9	U+0039	DIGIT NINE	Nd	2
A	U+0041	LATIN CAPITAL LETTER A	Lu	7
C	U+0043	LATIN CAPITAL LETTER C	Lu	6
D	U+0044	LATIN CAPITAL LETTER D	Lu	7
E	U+0045	LATIN CAPITAL LETTER E	Lu	6
F	U+0046	LATIN CAPITAL LETTER F	Lu	2
H	U+0048	LATIN CAPITAL LETTER H	Lu	2
I	U+0049	LATIN CAPITAL LETTER I	Lu	1
K	U+004B	LATIN CAPITAL LETTER K	Lu	11
L	U+004C	LATIN CAPITAL LETTER L	Lu	3
M	U+004D	LATIN CAPITAL LETTER M	Lu	3
N	U+004E	LATIN CAPITAL LETTER N	Lu	4
O	U+004F	LATIN CAPITAL LETTER O	Lu	3
P	U+0050	LATIN CAPITAL LETTER P	Lu	2
R	U+0052	LATIN CAPITAL LETTER R	Lu	5
S	U+0053	LATIN CAPITAL LETTER S	Lu	5
T	U+0054	LATIN CAPITAL LETTER T	Lu	2
U	U+0055	LATIN CAPITAL LETTER U	Lu	2
V	U+0056	LATIN CAPITAL LETTER V	Lu	1
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	3
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	2
a	U+0061	LATIN SMALL LETTER A	Ll	48
b	U+0062	LATIN SMALL LETTER B	Ll	5
c	U+0063	LATIN SMALL LETTER C	Ll	17
d	U+0064	LATIN SMALL LETTER D	Ll	16
e	U+0065	LATIN SMALL LETTER E	Ll	38
f	U+0066	LATIN SMALL LETTER F	Ll	9
g	U+0067	LATIN SMALL LETTER G	Ll	7
h	U+0068	LATIN SMALL LETTER H	Ll	7
i	U+0069	LATIN SMALL LETTER I	Ll	44
j	U+006A	LATIN SMALL LETTER J	Ll	1
k	U+006B	LATIN SMALL LETTER K	Ll	11
l	U+006C	LATIN SMALL LETTER L	Ll	27
m	U+006D	LATIN SMALL LETTER M	Ll	14
n	U+006E	LATIN SMALL LETTER N	Ll	39
o	U+006F	LATIN SMALL LETTER O	Ll	38
p	U+0070	LATIN SMALL LETTER P	Ll	8
r	U+0072	LATIN SMALL LETTER R	Ll	33
s	U+0073	LATIN SMALL LETTER S	Ll	26
t	U+0074	LATIN SMALL LETTER T	Ll	30
u	U+0075	LATIN SMALL LETTER U	Ll	15
v	U+0076	LATIN SMALL LETTER V	Ll	12
w	U+0077	LATIN SMALL LETTER W	Ll	1
x	U+0078	LATIN SMALL LETTER X	Ll	1
y	U+0079	LATIN SMALL LETTER Y	Ll	10
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	1
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	3
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	3
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	9
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	11
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	2
